index_,index,customer_city,customer_state,customer_zip_code_prefix,id,most_voted_class,most_voted_subclass,order_aproved_at,order_delivered_customer_date,order_estimated_delivery_date,order_freight_value,order_items_qty,order_products_value,order_purchase_timestamp,order_sellers_qty,order_status,product_category_name,product_description_length,product_name_length,product_photos_qty,review_answer_timestamp,review_comment_message,review_creation_date,review_score,votes_before_estimate,votes_delayed,votes_low_quality,votes_not_as_anounced,votes_other_delivery,votes_other_order,votes_partial_delivery,votes_return,votes_satisfied
0,0,Belo Horizonte,MG,308,1,satisfeito_com_pedido,satisfeito,2017-08-30 11:55:08.970352,2017-09-08 20:35:27.276847,2017-09-21 00:00:00.000000,14.38,1,89.99,2017-08-30 11:41:01,1,delivered,beleza_saude,492,59,3,2017-09-10 03:27:54,tudo certo,2017-09-09 00:00:00,5,0,0,0,0,0,0,0,0,3
1,1,Pocos de Caldas,MG,377,2,satisfeito_com_pedido,antes_prazo,2017-09-26 09:28:10.922048,2017-09-29 21:13:04.984841,2017-10-24 00:00:00.000000,15.23,1,69.0,2017-09-26 09:13:36,1,delivered,brinquedos,679,50,4,2017-10-03 05:34:20,o produto chegou antes de prazo parabens pela pontualidade,2017-09-30 00:00:00,5,3,0,0,0,0,0,0,0,0
2,2,Sao Jose dos Campos,SP,122,3,problemas_de_entrega,entrega_parcial,2018-01-17 07:29:56.419769,2018-01-23 17:51:31.134866,2018-02-05 00:00:00.000000,15.86,2,99.8,2018-01-15 15:50:42,4,delivered,ferramentas_jardim,341,59,2,2018-02-02 17:42:43,foi adquirido 6 itens desta loja onde até o momento não foi entregue um 1 unidade pendente meia lua meia bola esfera alumínio 34cm vermelho solicito posicionamento da empresa para recebimento,2018-01-24 00:00:00,1,0,0,0,0,0,0,3,0,0
3,3,Ribeirao Preto,SP,140,4,problemas_de_entrega,atrasado,2018-02-06 05:31:50.990164,2018-02-20 19:38:06.633080,2018-03-13 00:00:00.000000,12.74,1,87.0,2018-02-04 11:16:42,1,delivered,informatica_acessorios,411,45,1,2018-02-22 02:09:12,achei a entrega um pouco demorada,2018-02-21 00:00:00,4,0,3,0,0,0,0,0,0,0
4,4,RIO DE JANEIRO,RJ,205,5,problemas_de_entrega,entrega_parcial,2017-12-08 02:36:49.587515,2017-12-19 22:33:18.952512,2018-01-03 00:00:00.000000,17.95,1,99.9,2017-12-07 11:58:42,2,delivered,cama_mesa_banho,189,60,1,2017-12-23 04:17:03,comprei 02 jogos de lencois de cetim e uma colcha mas até agora só recebi o jogo de lencol cor cobre o que houve,2017-12-20 00:00:00,3,0,0,0,0,0,0,3,0,0
5,5,Sao Paulo,SP,20,6,,,2017-11-04 08:05:48.050186,2017-11-09 19:09:10.241896,2017-11-23 00:00:00.000000,0.15,1,39.99,2017-11-02 11:33:03,6,delivered,fashion_bolsas_e_acessorios,386,53,1,2017-11-13 22:28:12,apesar de ser da mesma loja os produtos vieram em 3 caixas separadas e em datas diferentes fazendo o sistema do stark confirmar a chegada dos 3 logo na primeira entrega,2017-11-10 00:00:00,5,0,0,0,0,1,1,1,0,0
6,6,Floresta,PE,564,7,problemas_de_entrega,outro_entrega,2017-11-27 00:18:31.179577,2017-12-19 14:13:52.655799,2017-12-28 00:00:00.000000,30.01,1,229.9,2017-11-26 23:58:24,1,delivered,moveis_decoracao,1120,54,8,2017-12-21 12:44:54,não gostei de ter que ir retirar no correio quanto ao produto ainda vou monta lo e fixar na parede depois retorno com outra avaliação a principio ele parece estar ok,2017-12-20 00:00:00,2,0,0,0,0,3,0,0,0,0
7,7,SAO PAULO,SP,83,8,satisfeito_com_pedido,antes_prazo,2017-12-08 21:32:36.905274,2017-12-26 16:09:57.768207,2017-12-27 00:00:00.000000,8.41,1,164.9,2017-12-08 21:13:04,1,delivered,relogios_presentes,448,50,1,2017-12-27 23:23:17,recomendo essa loja entrega antes do prazo,2017-12-27 00:00:00,5,2,0,0,0,0,0,0,0,1
8,8,Juquitiba,SP,69,9,satisfeito_com_pedido,satisfeito,2017-07-04 16:24:00.454971,2017-07-10 16:35:53.500041,2017-07-24 00:00:00.000000,40.62,1,89.9,2017-07-04 16:12:36,1,delivered,malas_acessorios,482,47,2,2017-07-14 14:42:17,produto entregue dentro do prazo,2017-07-11 00:00:00,3,1,0,0,0,0,0,0,0,2
9,9,Salvador,BA,403,10,satisfeito_com_pedido,satisfeito,2017-12-01 11:32:01.170224,2017-12-18 15:22:57.104615,2017-12-29 00:00:00.000000,19.94,1,99.9,2017-11-29 04:25:45,1,delivered,cama_mesa_banho,189,60,1,2017-12-21 20:10:55,adorei nota 10,2017-12-19 00:00:00,4,0,0,0,0,0,0,0,0,3
