product_id,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00faa46f36261af8bbf3a4d37fa4841b,100.0,21.0,9.0,14.0
b497d0032ea073dd58bbd2d7809d25b3,750.0,23.0,5.0,15.0
96bd76ec8810374ed1b65e291975717f,200.0,16.0,6.0,19.5
506110a1603e772a8ff52ea1f0b0431d,200.0,16.0,13.0,13.0
feb593f17c2f51af2932dbba3e99f1cb,50.0,35.0,4.0,26.0
732bd381ad09e530fe0a5f457d81becb,18350.0,68.0,20.0,41.0
2548af3e6e77a690cf3eb6368e9ab61e,900.0,40.0,8.0,40.0
3f890febf04d23fbbb967485295fbea8,1200.0,34.0,16.0,16.0
90467a0531183f8fd2cc76ca735df8a5,3500.0,41.0,15.0,25.0
8c92109888e8cdf9d66dc7e463025574,600.0,17.0,10.0,12.0
14aa47b7fe5c25522b47b4b29c98dcb9,1100.0,16.0,10.0,16.0
d54495a7772e381936815e75c563b818,450.0,16.0,26.0,11.0
6c023c34df3208adde426d9009a72c06,1000.0,16.0,12.0,12.0
52da007001d10a2ad14e0af61625c649,1700.0,29.0,19.0,26.0
342d75eedb9ec1ecb6d959f76f8f457a,16100.0,100.0,20.0,70.0
c7bdb343405a5d894e439e6034291542,3400.0,33.0,40.0,33.0
3bb7f144022e6732727d8d838a7b13b3,800.0,16.0,2.0,11.0
6a2fb4dd53d2cdb88e0432f1284a004c,400.0,27.0,5.0,20.0
a1b71017a84f92fd8da4aeefba108a24,900.0,40.0,15.0,20.0
ed782aa50a3fb8ddcd69f105410f50bb,1000.0,16.0,16.0,16.0
a0736b92e52f6cead290e30b578413b6,1700.0,100.0,7.0,15.0
45dc66388e0aeec2e8baab5572f2fa44,1100.0,30.0,16.0,20.0
07dd44ac41c5d9c082fd23ba154757ea,400.0,20.0,20.0,20.0
2ee01d305b60612e78144538abbdddd6,150.0,35.0,5.0,20.0
ae3cf477be1d399550839c2299876862,400.0,25.0,5.0,25.0
39f9ab5ea27485a4c3d32ee4c45630d8,450.0,45.0,15.0,35.0
a300dbe48179df6ad75c74a9fd9bc6bc,5500.0,23.0,41.0,61.0
1c1890ba1779090cd54008a3c3302921,7600.0,29.0,12.0,49.0
518ef5de2c2b3a255e326a4594ba15d9,800.0,36.0,8.0,16.0
2d489652c89700752b4a86973f9ec8d0,1250.0,16.0,11.0,20.0
b6b55da66230254b3febd6d4d928a5f7,5300.0,30.0,20.0,20.0
e3e020af31d4d89d2602272b315c3f6e,100.0,25.0,3.0,15.0
572e9207cc115d3774690d8c4ab2526e,300.0,20.0,8.0,16.0
b18fa799c2e098abdceb194c359938f6,1450.0,30.0,30.0,30.0
ddc81cd8c7351f13c000bd8294c3201b,200.0,20.0,16.0,16.0
0db2b2285ad8e71b4ba651eaa1f83ec6,400.0,33.0,6.0,22.0
b9e73cb95f0ede07f3e9c1e1207b8b9f,200.0,25.0,25.0,20.0
44c2454898f2a54b488fbbd767589cbe,300.0,21.0,10.0,15.0
cd96152f38323aa8177e3a72d6558518,2100.0,35.0,35.0,35.0
c78b767da00efb70c1bcccab87c28cd5,300.0,42.0,2.0,30.0
a0253d43394dd4da9a5d7b1f546f1a32,700.0,27.0,8.0,11.0
c5df814add85545e7cb9da118dd7bf65,700.0,25.0,3.0,17.0
f0a720fc3ab33276bc8bb46595996083,4000.0,30.5,7.0,23.5
e1d1d22e9f8122a4ec1533b032c12562,2150.0,70.0,8.0,34.0
20e37962088a4061d3578def47a8648b,800.0,40.0,10.0,34.0
5370b82a213393979691c98074265584,7950.0,33.0,30.0,44.0
b8dac5113b06a97e64943234522572b9,6000.0,87.0,3.0,42.0
ebb7ccdb2a728a4188759bfa3cbd1fc0,1300.0,20.0,15.0,20.0
b7696f082ed80a3cd59e3a449a433a5e,200.0,16.0,4.0,11.0
1b0e53e4d4941249d7dab3ee80baec12,150.0,16.0,5.0,14.0
c6f7d77b0d27a02ad3392f8549e58940,200.0,26.0,5.0,13.0
7d1a667dbc183583078324f912d42c6b,150.0,16.0,6.0,11.0
70bf4f61950297cf24e18a9b84c3208a,400.0,16.0,10.0,14.0
8b3a9476f74f5297f7ff0ec6d95fe1ea,2050.0,49.0,13.0,41.0
65bb78cf0bbc3ca6406f30e6793736f9,2000.0,100.0,7.0,12.0
715805dfa0c53228aa4122250e2ef13c,3400.0,77.0,4.0,47.0
1c6fb703c624b381a20f21f757694866,650.0,27.0,11.0,18.0
9a62d4b7f0018feb71b696d471eeabe7,800.0,30.0,40.0,30.0
f9bb291280bceedf7840b89e1e75b89c,2400.0,40.0,8.0,35.0
ca977202f2d5bc9cfdc368d305e460b8,400.0,17.0,14.0,14.0
28dbd015d2f1cfb12b555224291bfb8d,400.0,16.0,25.0,11.0
db46052aed7dff59ba38cf2fe29b87f9,6350.0,45.0,15.0,35.0
07ae32b18ffbde7c6c928721e8b956fb,3200.0,80.0,12.0,25.0
f1d211aa5d4f5fc6581caf7351672b5f,100.0,24.0,2.0,17.0
b864b103180d5a6a3f830e67f93e8735,600.0,70.0,11.0,11.0
7a8dac4aaa16bc642e4df33adcf03303,11750.0,18.0,40.0,79.0
4419a003d42a243227478f2a949722d8,850.0,25.0,6.0,21.0
2636a9812d151c718b53387171ce08be,500.0,16.0,16.0,15.0
fa076fad6129961a8dad6987731a3336,510.0,19.0,12.0,12.0
83b9bc6aae6f527ff6aafb9e01d6cbf3,2550.0,22.0,32.0,38.0
69a4b46259077c063d3721b6500893de,900.0,25.0,5.0,20.0
7088744b00831b410bd17716cb578f39,900.0,33.0,11.0,15.0
29c5f56bdaf7929e981f654f1a2f79ec,600.0,16.0,15.0,15.0
5f504b3a1c75b73d6151be81eb05bdc9,15350.0,47.0,40.0,47.0
8e5e831d742acedb1758e90e18974231,550.0,20.0,15.0,15.0
056b837251897cfc6f46d3643bad614f,1150.0,17.0,8.0,31.0
377da971c6b49b4bdb00c90962d3448a,9050.0,52.0,50.0,16.0
9ce4603565c839785b24a7e95e28f4eb,1300.0,24.0,7.0,50.0
bbf920aa6ac72007a726e6f419156f8f,1300.0,25.0,16.0,25.0
c3b7e4d83e530c27a8e6368296aece48,850.0,69.0,11.0,11.0
d4484cc239fbd0ac671ab04d931edc66,150.0,23.0,15.0,15.0
6f79d50d852c044e3f7f0954d13aeacf,1100.0,31.0,11.0,26.0
c5d8079278e912d7e3b6beb48ecb56e8,1300.0,19.0,28.0,17.0
334479e94cba98064050db1c9636e244,200.0,20.0,20.0,20.0
4e1d2ef2974c85d82582edfe594a4f57,300.0,25.0,10.0,20.0
d113f30e283c07474573b9032b03d76e,450.0,20.0,16.0,15.0
d218a47759ef0d1db44044934909b88b,350.0,17.0,11.0,11.0
59dae5028ffa06d8f0151bf1fa97b7e6,1000.0,36.0,15.0,25.0
4508e088c4a07e0ad64f6fa3751e314a,400.0,20.0,19.0,19.0
30e77af9e7759bbaa0305d2fbc605dc4,2000.0,32.0,12.0,37.0
fdeb34a9f03fea7c3937dd62d1d0287e,1100.0,28.0,15.0,20.0
3b8c35749c58362366b608a1745b4a55,200.0,27.0,14.0,23.0
0d826eba8e0a2ae3bca9e3a947dd756d,250.0,20.0,14.0,12.0
4e04ffb7dd3739ecfc37de8927dd586c,500.0,24.0,7.0,16.0
f8f6fd145cc00519283cf3100477b2b3,1500.0,22.0,16.0,11.0
36555a2f528d7b2a255c504191445d39,1700.0,36.0,16.0,26.0
6ec96c91757fad0aecafc0ee7f262dcc,9550.0,36.0,35.0,35.0
22937a73f92a33040ab4e2540355a5d8,100.0,16.0,5.0,11.0
f5c8a945826f5682f301ffdfd954df38,300.0,19.0,10.0,15.0
3becff10d1deb92b02f2a1ee62a04524,6150.0,30.0,30.0,20.0
bfc1d1c62b1f7f401d8d9dda962bb870,950.0,60.0,15.0,15.0
3013682507f5a8d6e8c1a43c19785385,500.0,68.0,8.0,13.0
3d8cd2be3ed79c7709b7abc32ed02575,4250.0,28.0,47.0,20.0
c4e71b64511b959455e2107fe7859020,200.0,18.0,15.0,15.0
a0b7d5a992ccda646f2d34e418fff5a0,12200.0,40.0,40.0,40.0
9a7c6041fa9592d9d9ef6cfe62a71f8c,1250.0,25.0,5.0,25.0
575c38b4c88fc7b35ef22fc8312bfe1b,1200.0,44.0,20.0,20.0
556702ebb73d3786a852ad3d5a8ad268,4800.0,25.0,8.0,25.0
83808703fc0706a22e264b9d75f04a2e,700.0,31.0,13.0,20.0
0d009643171aee696f4733340bc2fdd0,500.0,16.0,8.0,11.0
3066cffc47fd2bc9fc2dcd22510266ed,350.0,16.0,16.0,11.0
d73bf13793d7780a5cfdcb9fa0cf88d1,2100.0,45.0,15.0,35.0
75b4372e69a42f8ae1d908c076f547b2,1050.0,28.0,12.5,18.6
a3c95dc653d9a279b160bc0179385ed1,1750.0,30.0,18.0,30.0
0992c6cba95a13bfa68ea7d5e22d478b,3850.0,29.0,12.0,24.0
b1eae565a61935e0011ee7682fef9dc9,600.0,16.0,8.0,11.0
f9ecf420c38b90a8af8e7f70fd789264,600.0,50.0,10.0,12.0
3e0f398b664b26e3224c79dbf435191f,400.0,16.0,4.0,11.0
64c8f1a52b407d92518a1f8b79240a70,100.0,18.0,6.0,11.0
e5249a86cccee0a858dd8636e7ba3f19,6900.0,62.0,35.0,52.0
e7bbe385be4c8be8d2c92c6311e388ca,2600.0,47.0,21.0,41.0
d8a405c732027a2af3187b031890933d,200.0,35.0,4.0,26.0
3f0f8de616df6efb39a48f3c64eea974,1300.0,50.0,12.0,12.0
723f62c36c298037716bf60c0ad0df3a,250.0,16.0,2.0,11.0
c33d78b97260227119fb2b71be168fca,650.0,27.0,10.0,22.0
173bede3a9c5167765a4f08e75b079e6,450.0,30.0,10.0,24.0
67bea89008edcb996cfe4e3d062b62a8,1200.0,23.0,22.0,16.0
e8e86cbab028363545a5bf0ca5e226ee,6050.0,55.0,10.0,46.0
68a5c93f071ac7b4e98422a9f004a580,2450.0,25.0,10.0,25.0
8efa775719397f78f79c8e5c7b0afbd4,1000.0,30.0,18.0,18.0
a0abcee0132a5aed003d98e459b37698,2700.0,45.0,13.0,35.0
1eb4a9aee05c9cad041e09add2a26d68,800.0,38.0,8.0,28.0
f17b05cc8a7651896df8c30884200e9a,2000.0,32.0,51.0,16.0
f908df99196805b5bc4ada9ef510b11b,1950.0,60.0,15.0,15.0
c190c4fe582c5b7ffff586506de83f01,250.0,26.0,14.0,14.0
ad67f74682943e3857eebf3ca2538d1a,1800.0,41.0,9.0,34.0
1e12f1836c1f08b25ef78fcdf76fbf08,900.0,37.0,3.0,23.0
b6ca85d3268f06379b2f591a1f3e9307,700.0,16.0,30.0,11.0
acd427ee119d5c71c7a85ae488cb0a6a,200.0,16.0,2.0,11.0
60cf4effb6947283fa638d570bd07318,4500.0,80.0,70.0,28.0
bb09cce52b336261572a5a7e25a33795,550.0,16.0,25.0,12.0
a24aa2a2b3dbec4c75762163922b0d00,600.0,31.0,8.0,17.0
5a42f73d92034010a4e00360fb0df099,300.0,16.0,6.0,11.0
c395c16642c05dc2a991e511342b5041,1050.0,50.0,16.0,16.0
3cef8174403f4fdedbf24fa67fa9f132,1800.0,18.0,32.0,27.0
5877301b00f95e3c6118738b293dfab3,1500.0,65.0,8.0,38.0
e0bbe6292471ff5ab3752414baf78111,500.0,16.0,11.0,11.0
dd768d259ee6054e0dadd66c8e2be0b6,350.0,16.0,10.0,16.0
5176075fcd3ddabc15dbb455dd5ebd92,250.0,16.0,9.0,11.0
db7e6804f1a8206a7e51c9a741a09d9e,300.0,24.0,11.0,24.0
88d2c501ec765f5d7e8038fa6aab0e62,10700.0,40.0,40.0,40.0
43b6d9e46e1e6b8ac743a1c31e462937,7700.0,39.0,28.0,25.0
36d6b51a6bc34e5338eab7eda7716fd9,1000.0,26.0,33.0,13.0
1ffe365aa7583189e63f2fa4f060b269,5200.0,20.0,60.0,35.0
3014e35fd70fce29095ced5cdc89f4ce,100.0,16.0,3.0,11.0
